Patch,PSNR,SSIM,RMSE,SAM
1,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
2,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
3,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
4,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
5,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
6,6.493389814247237,0.0038582142,0.4735114574432373,1.5496282577514648
7,6.333916677180278,0.040677506,0.48228543996810913,0.9501999020576477
8,7.057920291743911,0.100092076,0.4437148869037628,0.79575514793396
9,5.944660571901263,0.035621002,0.5043905973434448,0.9440767168998718
10,4.107285084709889,-0.06288679,0.6232119202613831,1.3920574188232422
11,3.966566777488332,-0.050067008,0.6333906650543213,1.338681697845459
12,5.498303267707322,0.057955835,0.5309881567955017,0.9377511739730835
13,4.5927860509758585,0.052467387,0.5893329381942749,1.0031611919403076
14,3.515579802062282,-0.0587505,0.6671461462974548,1.4379315376281738
15,5.9017252677871905,0.10506866,0.506890058517456,0.7363535165786743
16,5.543353976116492,0.10272539,0.5282412171363831,0.6198339462280273
17,5.2470245905827415,0.050877225,0.5465737581253052,0.9044144749641418
18,4.857935317926709,-0.09193134,0.5716145038604736,1.4689407348632812
19,4.588941031385358,0.053864192,0.5895938873291016,0.9873827695846558
20,4.801190433801114,0.056751143,0.5753610730171204,0.9263598918914795
21,4.314887962090279,0.030352823,0.6084929704666138,1.1518346071243286
22,4.891694662039457,0.04003809,0.5693970918655396,0.9999431371688843
23,5.519636340997356,0.09409088,0.5296856164932251,0.7389018535614014
24,4.653354826496251,0.047920544,0.5852376222610474,0.9816554188728333
25,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
26,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
27,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
28,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
29,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
30,4.619246574896163,0.027011037,0.587540328502655,1.334700584411621
31,5.701246924077762,0.027077384,0.518725574016571,0.9792913198471069
32,6.853236597874989,0.095135964,0.45429524779319763,0.7242356538772583
33,6.029138868108442,0.055605616,0.49950867891311646,0.9215728640556335
34,6.57752131456292,0.10008892,0.468947172164917,0.7894129157066345
35,6.4182590042725005,0.10539222,0.4776249825954437,0.798220157623291
36,3.704575367338559,-0.09896877,0.6527866125106812,1.6023037433624268
37,5.282889765304924,0.032589834,0.5443214774131775,1.025312900543213
38,6.5713431484772915,0.05721314,0.46928083896636963,0.8924795389175415
39,6.648463447331902,0.0943408,0.46513262391090393,0.7353655099868774
40,5.005727000223128,0.08091336,0.5619706511497498,0.7388628721237183
41,6.008943430005939,0.10841676,0.5006714463233948,0.6234787702560425
42,6.588763515886464,0.07737043,0.46834057569503784,0.8427784442901611
43,4.870744417587833,0.057816613,0.5707721710205078,0.9474554061889648
44,4.49169190813318,0.046049226,0.5962321758270264,0.9936394095420837
45,4.960366907140415,0.063385285,0.5649130940437317,0.9022644758224487
46,4.454633310893897,-0.008039554,0.5987814664840698,1.2276382446289062
47,5.036208504033648,0.064911366,0.5600019693374634,0.8753677606582642
48,5.385737089875962,0.09471049,0.5379143953323364,0.5855042934417725
49,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
50,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
51,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
52,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
53,6.177703539603428,0.00031115487,0.49103766679763794,1.5707968473434448
54,7.462469697714072,0.08551949,0.4235225319862366,1.0530765056610107
55,4.908212281636313,-0.021629184,0.568315327167511,1.1371060609817505
56,6.3474575520613765,0.11190667,0.4815341830253601,0.7139226198196411
57,5.85540863454634,0.022214299,0.5096001625061035,1.044569492340088
58,7.736463941286473,0.1602829,0.4103711247444153,0.6540901064872742
59,4.2680022471061925,-0.056588437,0.6117864847183228,1.351357340812683
60,4.282300014260016,-0.07343863,0.6107802987098694,1.4313702583312988
61,4.782236508816751,0.007643732,0.576617956161499,1.1721426248550415
62,5.786091789902269,0.02114282,0.5136832594871521,0.9539546966552734
63,4.4518372391512315,-0.054469317,0.5989742279052734,1.3798030614852905
64,4.595836289339288,0.024936533,0.5891259908676147,1.112372636795044
65,4.8293954139541215,0.06880251,0.5734958052635193,0.8605685234069824
66,6.716289815747877,0.07963681,0.4615146815776825,0.8113541007041931
67,3.9723753842769485,-0.06444775,0.6329672336578369,1.4618041515350342
68,4.5276185526673896,0.047387358,0.5937711000442505,1.0051941871643066
